date,amazon_price,amazon_discount
2024-01-01,73999.0,17.69%
2024-01-02,73999.0,17.69%
2024-01-03,73999.0,17.69%
2024-01-04,73999.0,17.69%
2024-01-05,72999.0,18.8%
2024-01-06,72999.0,18.8%
2024-01-07,72990.0,18.81%
2024-01-08,72990.0,18.81%
2024-01-09,72990.0,18.81%
2024-01-10,72990.0,18.81%
2024-01-11,72990.0,18.81%
2024-01-12,72990.0,18.81%
2024-01-13,72990.0,18.81%
2024-01-14,72990.0,18.81%
2024-01-15,74900.0,16.69%
2024-01-16,74900.0,16.69%
2024-01-17,74900.0,16.69%
2024-01-18,74900.0,16.69%
2024-01-19,72990.0,18.81%
2024-01-20,70990.0,21.03%
2024-01-21,70990.0,21.03%
2024-01-22,72990.0,18.81%
2024-01-23,72990.0,18.81%
2024-01-24,72990.0,18.81%
2024-01-25,72990.0,18.81%
2024-01-26,72990.0,18.81%
2024-01-27,72990.0,18.81%
2024-01-28,72990.0,18.81%
2024-01-29,72990.0,18.81%
2024-01-30,72990.0,18.81%
2024-01-31,72990.0,18.81%
2024-02-01,72990.0,18.81%
2024-02-02,70990.0,21.03%
2024-02-03,70990.0,21.03%
2024-02-04,70990.0,21.03%
2024-02-05,70990.0,21.03%
2024-02-06,70990.0,21.03%
2024-02-07,72999.0,18.8%
2024-02-08,71990.0,19.92%
2024-02-09,71990.0,19.92%
2024-02-10,71990.0,19.92%
2024-02-11,71990.0,19.92%
2024-02-12,71990.0,19.92%
2024-02-13,71990.0,19.92%
2024-02-14,71990.0,19.92%
2024-02-15,71990.0,19.92%
2024-02-16,71490.0,20.48%
2024-02-17,71490.0,20.48%
2024-02-18,71490.0,20.48%
2024-02-19,71490.0,20.48%
2024-02-20,71490.0,20.48%
2024-02-21,72999.0,18.8%
2024-02-22,72999.0,18.8%
2024-02-23,71490.0,20.48%
2024-02-24,71490.0,20.48%
2024-02-25,80990.0,9.91%
2024-02-26,70999.0,21.02%
2024-02-27,70999.0,21.02%
2024-02-28,69999.0,22.14%
2024-02-29,69999.0,22.14%
2024-03-01,72999.0,18.8%
2024-03-02,72999.0,18.8%
2024-03-03,72999.0,18.8%
2024-03-04,72999.0,18.8%
2024-03-05,72999.0,18.8%
2024-03-06,72999.0,18.8%
2024-03-07,72999.0,18.8%
2024-03-08,72999.0,18.8%
2024-03-09,72200.0,19.69%
2024-03-10,72200.0,19.69%
2024-03-11,71499.0,20.47%
2024-03-12,71499.0,20.47%
2024-03-13,71499.0,20.47%
2024-03-14,71499.0,20.47%
2024-03-15,71499.0,20.47%
2024-03-16,71499.0,20.47%
2024-03-17,71499.0,20.47%
2024-03-18,71290.0,20.7%
2024-03-19,71290.0,20.7%
2024-03-20,71290.0,20.7%
2024-03-21,71290.0,20.7%
2024-03-22,65999.0,26.59%
2024-03-23,71290.0,20.7%
2024-03-24,71290.0,20.7%
2024-03-25,71290.0,20.7%
2024-03-26,72200.0,19.69%
2024-03-27,72200.0,19.69%
2024-03-28,72200.0,19.69%
2024-03-29,72200.0,19.69%
2024-03-30,72200.0,19.69%
2024-03-31,72200.0,19.69%
2024-04-01,72700.0,19.13%
2024-04-02,72690.0,19.14%
2024-04-03,72690.0,19.14%
2024-04-04,72690.0,19.14%
2024-04-05,72690.0,19.14%
2024-04-06,72690.0,19.14%
2024-04-07,72690.0,19.14%
2024-04-08,72690.0,19.14%
2024-04-09,72690.0,19.14%
2024-04-10,72690.0,19.14%
2024-04-11,73100.0,18.69%
2024-04-12,73100.0,18.69%
2024-04-13,73100.0,18.69%
