date,flipkart_price,flipkart_discount
2024-01-01,75999.0,4.88%
2024-01-02,74999.0,6.13%
2024-01-03,74999.0,6.13%
2024-01-04,73999.0,7.39%
2024-01-05,73999.0,7.39%
2024-01-06,73999.0,7.39%
2024-01-07,73999.0,7.39%
2024-01-08,73999.0,7.39%
2024-01-09,73999.0,7.39%
2024-01-10,73999.0,7.39%
2024-01-11,74999.0,6.13%
2024-01-12,74999.0,6.13%
2024-01-13,65999.0,17.4%
2024-01-14,65999.0,17.4%
2024-01-15,66999.0,16.15%
2024-01-16,66999.0,16.15%
2024-01-17,67499.0,15.52%
2024-01-18,67499.0,15.52%
2024-01-19,66999.0,16.15%
2024-01-20,72990.0,8.65%
2024-01-21,72999.0,8.64%
2024-01-22,72990.0,8.65%
2024-01-23,72990.0,8.65%
2024-01-24,66999.0,16.15%
2024-01-25,66999.0,16.15%
2024-01-26,66999.0,16.15%
2024-01-27,66999.0,16.15%
2024-01-28,65999.0,17.4%
2024-01-29,65999.0,17.4%
2024-01-30,65999.0,17.4%
2024-01-31,69999.0,12.39%
2024-02-01,71999.0,9.89%
2024-02-02,71999.0,9.89%
2024-02-03,72999.0,8.64%
2024-02-04,72999.0,8.64%
2024-02-05,72999.0,8.64%
2024-02-06,72999.0,8.64%
2024-02-07,72999.0,8.64%
2024-02-08,72999.0,8.64%
2024-02-09,65999.0,17.4%
2024-02-10,66999.0,16.15%
2024-02-11,66999.0,16.15%
2024-02-12,65999.0,17.4%
2024-02-13,65999.0,17.4%
2024-02-14,65999.0,17.4%
2024-02-15,65999.0,17.4%
2024-02-16,65999.0,17.4%
2024-02-17,72999.0,8.64%
2024-02-18,72999.0,8.64%
2024-02-19,72999.0,8.64%
2024-02-20,72999.0,8.64%
2024-02-21,72999.0,8.64%
2024-02-22,72999.0,8.64%
2024-02-23,70999.0,11.14%
2024-02-24,70999.0,11.14%
2024-02-25,70999.0,11.14%
2024-02-26,70999.0,11.14%
2024-02-27,69999.0,12.39%
2024-02-28,69999.0,12.39%
2024-02-29,69999.0,12.39%
2024-03-01,72999.0,8.64%
2024-03-02,72999.0,8.64%
2024-03-03,72999.0,8.64%
2024-03-04,72999.0,8.64%
2024-03-05,72999.0,8.64%
2024-03-06,72999.0,8.64%
2024-03-07,72999.0,8.64%
2024-03-08,72999.0,8.64%
2024-03-09,64999.0,18.65%
2024-03-10,66499.0,16.77%
2024-03-11,66499.0,16.77%
2024-03-12,66499.0,16.77%
2024-03-13,66999.0,16.15%
2024-03-14,66999.0,16.15%
2024-03-15,66999.0,16.15%
2024-03-16,72999.0,8.64%
2024-03-17,72999.0,8.64%
2024-03-18,72999.0,8.64%
2024-03-19,72999.0,8.64%
2024-03-20,72999.0,8.64%
2024-03-21,72999.0,8.64%
2024-03-22,72999.0,8.64%
2024-03-23,65999.0,17.4%
2024-03-24,66999.0,16.15%
2024-03-25,66999.0,16.15%
2024-03-26,66999.0,16.15%
2024-03-27,66999.0,16.15%
2024-03-28,65999.0,17.4%
2024-03-29,65999.0,17.4%
2024-03-30,69999.0,12.39%
2024-03-31,68999.0,13.64%
2024-04-01,72999.0,8.64%
2024-04-02,72999.0,8.64%
2024-04-03,72999.0,8.64%
2024-04-04,72999.0,8.64%
2024-04-05,72999.0,8.64%
2024-04-06,72999.0,8.64%
2024-04-07,72999.0,8.64%
2024-04-08,72999.0,8.64%
2024-04-09,72999.0,8.64%
2024-04-10,65999.0,17.4%
2024-04-11,65999.0,17.4%
2024-04-12,65999.0,17.4%
2024-04-13,65999.0,17.4%
2024-04-14,65999.0,17.4%
2024-04-15,65999.0,17.4%
2024-04-16,65999.0,17.4%
2024-04-17,71999.0,9.89%
2024-04-18,71999.0,9.89%
2024-04-19,65999.0,17.4%
2024-04-20,65999.0,17.4%
2024-04-21,65999.0,17.4%
2024-04-22,65999.0,17.4%
2024-04-23,65999.0,17.4%
2024-04-24,65999.0,17.4%
2024-04-25,65999.0,17.4%
2024-04-26,70999.0,11.14%
2024-04-27,70999.0,11.14%
2024-04-28,70999.0,11.14%
2024-04-29,70999.0,11.14%
2024-04-30,70999.0,11.14%
2024-05-01,71999.0,9.89%
2024-05-02,63999.0,19.9%
2024-05-03,63999.0,19.9%
2024-05-04,63999.0,19.9%
2024-05-05,63999.0,19.9%
2024-05-06,63999.0,19.9%
2024-05-07,63999.0,19.9%
2024-05-08,63999.0,19.9%
2024-05-09,70999.0,11.14%
2024-05-10,70999.0,11.14%
2024-05-11,71999.0,9.89%
2024-05-12,71999.0,9.89%
2024-05-13,71999.0,9.89%
2024-05-14,71999.0,9.89%
2024-05-15,71999.0,9.89%
2024-05-16,71999.0,9.89%
2024-05-17,71999.0,9.89%
2024-05-18,71999.0,9.89%
2024-05-19,71999.0,9.89%
2024-05-20,71999.0,9.89%
2024-05-21,71999.0,9.89%
2024-05-22,71999.0,9.89%
2024-05-23,70999.0,11.14%
2024-05-24,70999.0,11.14%
2024-05-25,70999.0,11.14%
2024-05-26,70999.0,11.14%
2024-05-27,70999.0,11.14%
2024-05-28,64999.0,18.65%
2024-05-29,64999.0,18.65%
2024-05-30,64999.0,18.65%
2024-05-31,64999.0,18.65%
2024-06-01,64999.0,18.65%
2024-06-02,64999.0,18.65%
2024-06-03,64999.0,18.65%
2024-06-04,70999.0,11.14%
2024-06-05,70999.0,11.14%
