date,amazon_price,amazon_discount,flipkart_price,flipkart_discount,day,month,year,weekend,datetime,weekday,price_diff,MA_7_Amazon,MA_30_Amazon,EMA_14_Amazon,MA_7_Flipkart,MA_30_Flipkart,EMA_14_Flipkart
2024-01-01,73999.0,17.69%,75999.0,4.88%,1,1,2024,False,2024-01-01 19:26:37,Monday,-2000.0,,,73999.0,,,75999.0
2024-01-02,73999.0,17.69%,74999.0,6.13%,2,1,2024,False,2024-01-02 19:26:37,Tuesday,-1000.0,,,73999.0,,,75865.66666666667
2024-01-03,73999.0,17.69%,74999.0,6.13%,3,1,2024,False,2024-01-03 19:26:37,Wednesday,-1000.0,,,73999.0,,,75750.11111111112
2024-01-04,73999.0,17.69%,73999.0,7.39%,4,1,2024,False,2024-01-04 19:26:37,Thursday,0.0,,,73999.0,,,75516.62962962964
2024-01-05,72999.0,18.8%,73999.0,7.39%,5,1,2024,False,2024-01-05 19:26:37,Friday,-1000.0,,,73865.66666666667,,,75314.27901234568
2024-01-06,72999.0,18.8%,73999.0,7.39%,6,1,2024,True,2024-01-06 19:26:37,Saturday,-1000.0,,,73750.11111111112,,,75138.90847736626
2024-01-07,72990.0,18.81%,73999.0,7.39%,7,1,2024,True,2024-01-07 19:26:37,Sunday,-1009.0,73569.14285714286,,73648.76296296297,74570.42857142857,,74986.9206803841
2024-01-08,72990.0,18.81%,73999.0,7.39%,8,1,2024,False,2024-01-08 19:26:37,Monday,-1009.0,73425.0,,73560.92790123457,74284.71428571429,,74855.19792299955
2024-01-09,72990.0,18.81%,73999.0,7.39%,9,1,2024,False,2024-01-09 19:26:37,Tuesday,-1009.0,73280.85714285714,,73484.80418106995,74141.85714285714,,74741.03819993295
2024-01-10,72990.0,18.81%,73999.0,7.39%,10,1,2024,False,2024-01-10 19:26:37,Wednesday,-1009.0,73136.71428571429,,73418.83029026062,73999.0,,74642.09977327523
2024-01-11,72990.0,18.81%,74999.0,6.13%,11,1,2024,False,2024-01-11 19:26:37,Thursday,-2009.0,72992.57142857143,,73361.65291822588,74141.85714285714,,74689.68647017187
2024-01-12,72990.0,18.81%,74999.0,6.13%,12,1,2024,False,2024-01-12 19:26:37,Friday,-2009.0,72991.28571428571,,73312.09919579577,74284.71428571429,,74730.92827414896
2024-01-13,72990.0,18.81%,65999.0,17.4%,13,1,2024,True,2024-01-13 19:26:37,Saturday,6991.0,72990.0,,73269.15263635633,73141.85714285714,,73566.6711709291
2024-01-14,72990.0,18.81%,65999.0,17.4%,14,1,2024,True,2024-01-14 19:26:37,Sunday,6991.0,72990.0,,73231.93228484216,71999.0,,72557.64834813855
2024-01-15,74900.0,16.69%,66999.0,16.15%,15,1,2024,False,2024-01-15 19:26:37,Monday,7901.0,73262.85714285714,,73454.34131352988,70999.0,,71816.49523505341
2024-01-16,74900.0,16.69%,66999.0,16.15%,16,1,2024,False,2024-01-16 19:26:37,Tuesday,7901.0,73535.71428571429,,73647.09580505923,69999.0,,71174.1625370463
2024-01-17,74900.0,16.69%,67499.0,15.52%,17,1,2024,False,2024-01-17 19:26:37,Wednesday,7401.0,73808.57142857143,,73814.149697718,69070.42857142857,,70684.14086544013
2024-01-18,74900.0,16.69%,67499.0,15.52%,18,1,2024,False,2024-01-18 19:26:37,Thursday,7401.0,74081.42857142857,,73958.92973802227,67999.0,,70259.45541671479
2024-01-19,72990.0,18.81%,66999.0,16.15%,19,1,2024,False,2024-01-19 19:26:37,Friday,5991.0,74081.42857142857,,73829.73910628597,66856.14285714286,,69824.72802781948
2024-01-20,70990.0,21.03%,72990.0,8.65%,20,1,2024,True,2024-01-20 19:26:37,Saturday,-2000.0,73795.71428571429,,73451.10722544783,67854.85714285714,,70246.76429077689
2024-01-21,70990.0,21.03%,72999.0,8.64%,21,1,2024,True,2024-01-21 19:26:37,Sunday,-2009.0,73510.0,,73122.95959538812,68854.85714285714,,70613.72905200665
2024-01-22,72990.0,18.81%,72990.0,8.65%,22,1,2024,False,2024-01-22 19:26:37,Monday,0.0,73237.14285714286,,73105.23164933638,69710.71428571429,,70930.56517840576
2024-01-23,72990.0,18.81%,72990.0,8.65%,23,1,2024,False,2024-01-23 19:26:37,Tuesday,0.0,72964.28571428571,,73089.86742942486,70566.57142857143,,71205.15648795167
2024-01-24,72990.0,18.81%,66999.0,16.15%,24,1,2024,False,2024-01-24 19:26:37,Wednesday,5991.0,72691.42857142857,,73076.55177216823,70495.14285714286,,70644.33562289145
2024-01-25,72990.0,18.81%,66999.0,16.15%,25,1,2024,False,2024-01-25 19:26:37,Thursday,5991.0,72418.57142857143,,73065.01153587914,70423.71428571429,,70158.29087317259
2024-01-26,72990.0,18.81%,66999.0,16.15%,26,1,2024,False,2024-01-26 19:26:37,Friday,5991.0,72418.57142857143,,73055.00999776192,70423.71428571429,,69737.05209008291
2024-01-27,72990.0,18.81%,66999.0,16.15%,27,1,2024,True,2024-01-27 19:26:37,Saturday,5991.0,72704.28571428571,,73046.34199806034,69567.85714285714,,69371.97847807186
2024-01-28,72990.0,18.81%,65999.0,17.4%,28,1,2024,True,2024-01-28 19:26:37,Sunday,6991.0,72990.0,,73038.8297316523,68567.85714285714,,68922.24801432894
2024-01-29,72990.0,18.81%,65999.0,17.4%,29,1,2024,False,2024-01-29 19:26:37,Monday,6991.0,72990.0,,73032.31910076532,67569.14285714286,,68532.48161241841
2024-01-30,72990.0,18.81%,65999.0,17.4%,30,1,2024,False,2024-01-30 19:26:37,Tuesday,6991.0,72990.0,73246.46666666666,73026.67655399661,66570.42857142857,70664.76666666666,68194.68406409596
2024-01-31,72990.0,18.81%,69999.0,12.39%,31,1,2024,False,2024-01-31 19:26:37,Wednesday,2991.0,72990.0,73212.83333333333,73021.78634679707,66999.0,70464.76666666666,68435.2595222165
2024-02-01,72990.0,18.81%,71999.0,9.89%,1,2,2024,False,2024-02-01 19:26:37,Thursday,991.0,72990.0,73179.2,73017.54816722413,67713.28571428571,70364.76666666666,68910.42491925429
2024-02-02,70990.0,21.03%,71999.0,9.89%,2,2,2024,False,2024-02-02 19:26:37,Friday,-1009.0,72704.28571428571,73078.9,72747.20841159424,68427.57142857143,70264.76666666666,69322.2349300204
2024-02-02,71990.0,19.92%,71999.0,9.89%,2,2,2024,False,2024-02-02 19:26:37,Friday,-9.0,72561.42857142857,73011.93333333333,72646.24729004834,69141.85714285714,70198.1,69679.13693935101
2024-02-03,71990.0,19.92%,72999.0,8.64%,3,2,2024,True,2024-02-03 19:26:37,Saturday,-1009.0,72418.57142857143,72978.3,72558.74765137523,70141.85714285714,70164.76666666666,70121.78534743754
2024-02-04,71990.0,19.92%,72999.0,8.64%,4,2,2024,True,2024-02-04 19:26:37,Sunday,-1009.0,72275.71428571429,72944.66666666667,72482.91463119187,71141.85714285714,70131.43333333333,70505.41396777921
2024-02-05,71990.0,19.92%,72999.0,8.64%,5,2,2024,False,2024-02-05 19:26:37,Monday,-1009.0,72132.85714285714,72911.33333333333,72417.1926803663,72141.85714285714,70098.1,70837.89210540865
2024-02-06,71990.0,19.92%,72999.0,8.64%,6,2,2024,False,2024-02-06 19:26:37,Tuesday,-1009.0,71990.0,72878.0,72360.23365631746,72570.42857142857,70064.76666666666,71126.0398246875
2024-02-07,72999.0,18.8%,72999.0,8.64%,7,2,2024,False,2024-02-07 19:26:37,Wednesday,0.0,71991.28571428571,72878.3,72445.4025021418,72713.28571428571,70031.43333333333,71375.7678480625
2024-02-08,71990.0,19.92%,72999.0,8.64%,8,2,2024,False,2024-02-08 19:26:37,Thursday,-1009.0,72134.14285714286,72844.96666666666,72384.68216852291,72856.14285714286,69998.1,71592.19880165417
2024-02-09,71990.0,19.92%,65999.0,17.4%,9,2,2024,False,2024-02-09 19:26:37,Friday,5991.0,72134.14285714286,72811.63333333333,72332.05787938653,71999.0,69698.1,70846.43896143361
2024-02-10,71990.0,19.92%,66999.0,16.15%,10,2,2024,True,2024-02-10 19:26:37,Saturday,4991.0,72134.14285714286,72778.3,72286.45016213499,71141.85714285714,69431.43333333333,70333.44709990913
2024-02-11,71990.0,19.92%,66999.0,16.15%,11,2,2024,True,2024-02-11 19:26:37,Sunday,4991.0,72134.14285714286,72744.96666666666,72246.92347385033,70284.71428571429,69464.76666666666,69888.85415325458
2024-02-12,71990.0,19.92%,65999.0,17.4%,12,2,2024,False,2024-02-12 19:26:37,Monday,5991.0,72134.14285714286,72711.63333333333,72212.6670106703,69284.71428571429,69464.76666666666,69370.20693282064
2024-02-13,71990.0,19.92%,65999.0,17.4%,13,2,2024,False,2024-02-13 19:26:37,Tuesday,5991.0,72134.14285714286,72614.63333333333,72182.97807591426,68284.71428571429,69431.43333333333,68920.71267511122
2024-02-14,71990.0,19.92%,65999.0,17.4%,14,2,2024,False,2024-02-14 19:26:37,Wednesday,5991.0,71990.0,72517.63333333333,72157.24766579235,67284.71428571429,69398.1,68531.15098509639
2024-02-15,71990.0,19.92%,65999.0,17.4%,15,2,2024,False,2024-02-15 19:26:37,Thursday,5991.0,71990.0,72420.63333333333,72134.94797702004,66284.71428571429,69348.1,68193.53085375021
2024-02-16,71490.0,20.48%,65999.0,17.4%,16,2,2024,False,2024-02-16 19:26:37,Friday,5491.0,71918.57142857143,72306.96666666666,72048.95491341737,66284.71428571429,69298.1,67900.92673991685
2024-02-17,71490.0,20.48%,72999.0,8.64%,17,2,2024,True,2024-02-17 19:26:37,Saturday,-1509.0,71847.14285714286,72256.96666666666,71974.4275916284,67141.85714285714,69498.1,68580.66984126127
2024-02-18,71490.0,20.48%,72999.0,8.64%,18,2,2024,True,2024-02-18 19:26:37,Sunday,-1509.0,71775.71428571429,72273.63333333333,71909.83724607795,67999.0,69498.4,69169.78052909311
2024-02-19,71490.0,20.48%,72999.0,8.64%,19,2,2024,False,2024-02-19 19:26:37,Monday,-1509.0,71704.28571428571,72290.3,71853.8589466009,68999.0,69498.4,69680.34312521403
2024-02-20,71490.0,20.48%,72999.0,8.64%,20,2,2024,False,2024-02-20 19:26:37,Tuesday,-1509.0,71632.85714285714,72240.3,71805.34442038744,69999.0,69498.7,70122.83070851883
2024-02-21,72999.0,18.8%,72999.0,8.64%,21,2,2024,False,2024-02-21 19:26:37,Wednesday,0.0,71777.0,72240.6,71964.49849766912,70999.0,69499.0,70506.31994738299
2024-02-22,72999.0,18.8%,72999.0,8.64%,22,2,2024,False,2024-02-22 19:26:37,Thursday,0.0,71921.14285714286,72240.9,72102.43203131323,71999.0,69699.0,70838.67728773193
2024-02-23,71490.0,20.48%,70999.0,11.14%,23,2,2024,False,2024-02-23 19:26:37,Friday,491.0,71921.14285714286,72190.9,72020.77442713814,72713.28571428571,69832.33333333333,70860.05364936768
2024-02-23,70999.0,21.02%,70999.0,11.14%,23,2,2024,False,2024-02-23 19:26:37,Friday,0.0,71851.0,72124.53333333334,71884.53783685305,72427.57142857143,69965.66666666667,70878.57982945199
2024-02-24,70999.0,21.02%,70999.0,11.14%,24,2,2024,True,2024-02-24 19:26:37,Saturday,0.0,71780.85714285714,72058.16666666667,71766.46612527265,72141.85714285714,70099.0,70894.63585219173
2024-02-25,80990.0,9.91%,70999.0,11.14%,25,2,2024,True,2024-02-25 19:26:37,Sunday,9991.0,73138.0,72324.83333333333,72996.27064190297,71856.14285714286,70265.66666666667,70908.5510718995
2024-02-26,70999.0,21.02%,70999.0,11.14%,26,2,2024,False,2024-02-26 19:26:37,Monday,0.0,73067.85714285714,72258.46666666666,72729.96788964924,71570.42857142857,70432.33333333333,70920.61092897957
2024-02-27,70999.0,21.02%,69999.0,12.39%,27,2,2024,False,2024-02-27 19:26:37,Tuesday,1000.0,72782.14285714286,72192.1,72499.17217102935,71141.85714285714,70565.66666666667,70797.7294717823
2024-02-28,70999.0,21.02%,69999.0,12.39%,28,2,2024,False,2024-02-28 19:26:37,Wednesday,1000.0,72496.42857142857,72125.73333333334,72299.1492148921,70713.28571428571,70565.66666666667,70691.23220887799
2024-02-28,69999.0,22.14%,69999.0,12.39%,28,2,2024,False,2024-02-28 19:26:37,Wednesday,0.0,72283.42857142857,72026.03333333334,71992.46265290648,70570.42857142857,70499.0,70598.9345810276
2024-02-29,69999.0,22.14%,69999.0,12.39%,29,2,2024,False,2024-02-29 19:26:37,Thursday,0.0,72140.57142857143,71993.0,71726.66763251896,70427.57142857143,70432.33333333333,70518.94330355726
2024-03-01,72999.0,18.8%,72999.0,8.64%,1,3,2024,False,2024-03-01 19:26:37,Friday,0.0,72426.28571428571,72026.63333333333,71896.31194818311,70713.28571428571,70465.66666666667,70849.61752974962
2024-03-02,72999.0,18.8%,72999.0,8.64%,2,3,2024,True,2024-03-02 19:26:37,Saturday,0.0,71284.71428571429,72060.26666666666,72043.33702175869,70999.0,70465.66666666667,71136.20185911634
2024-03-03,72999.0,18.8%,72999.0,8.64%,3,3,2024,True,2024-03-03 19:26:37,Sunday,0.0,71570.42857142857,72093.9,72170.75875219087,71284.71428571429,70465.66666666667,71384.57494456749
2024-03-04,72999.0,18.8%,72999.0,8.64%,4,3,2024,False,2024-03-04 19:26:37,Monday,0.0,71856.14285714286,72127.53333333334,72281.19091856542,71713.28571428571,70465.66666666667,71599.83161862516
2024-03-05,72999.0,18.8%,72999.0,8.64%,5,3,2024,False,2024-03-05 19:26:37,Tuesday,0.0,72141.85714285714,72161.16666666667,72376.89879609004,72141.85714285714,70465.66666666667,71786.38740280848
2024-03-06,72999.0,18.8%,72999.0,8.64%,6,3,2024,False,2024-03-06 19:26:37,Wednesday,0.0,72570.42857142857,72161.16666666667,72459.84562327804,72570.42857142857,70465.66666666667,71948.06908243403
2024-03-07,72999.0,18.8%,72999.0,8.64%,7,3,2024,False,2024-03-07 19:26:37,Thursday,0.0,72999.0,72194.8,72531.73287350764,72999.0,70465.66666666667,72088.19320477617
2024-03-08,72999.0,18.8%,72999.0,8.64%,8,3,2024,False,2024-03-08 19:26:37,Friday,0.0,72999.0,72228.43333333333,72594.03515703997,72999.0,70699.0,72209.63411080602
2024-03-09,72200.0,19.69%,64999.0,18.65%,9,3,2024,True,2024-03-09 19:26:37,Saturday,7201.0,72884.85714285714,72235.43333333333,72541.4971361013,71856.14285714286,70632.33333333333,71248.2162293652
2024-03-10,72200.0,19.69%,66499.0,16.77%,10,3,2024,True,2024-03-10 19:26:37,Sunday,5701.0,72770.71428571429,72242.43333333333,72495.96418462113,70927.57142857143,70615.66666666667,70614.98739878318
2024-03-11,71499.0,20.47%,66499.0,16.77%,11,3,2024,False,2024-03-11 19:26:37,Monday,5000.0,72556.42857142857,72226.06666666667,72363.03562667166,69999.0,70632.33333333333,70066.18907894543
2024-03-12,71499.0,20.47%,66499.0,16.77%,12,3,2024,False,2024-03-12 19:26:37,Tuesday,5000.0,72342.14285714286,72209.7,72247.83087644877,69070.42857142857,70649.0,69590.56386841938
2024-03-13,71499.0,20.47%,66999.0,16.15%,13,3,2024,False,2024-03-13 19:26:37,Wednesday,4500.0,72127.85714285714,72193.33333333333,72147.98675958894,68213.28571428571,70682.33333333333,69245.0220192968
2024-03-14,71499.0,20.47%,66999.0,16.15%,14,3,2024,False,2024-03-14 19:26:37,Thursday,4500.0,71913.57142857143,72176.96666666666,72061.45519164375,67356.14285714286,70715.66666666667,68945.55241672389
2024-03-15,71499.0,20.47%,66999.0,16.15%,15,3,2024,False,2024-03-15 19:26:37,Friday,4500.0,71699.28571428571,72177.26666666666,71986.46116609125,66499.0,70749.0,68686.01209449404
2024-03-16,71499.0,20.47%,72999.0,8.64%,16,3,2024,True,2024-03-16 19:26:37,Saturday,-1500.0,71599.14285714286,72177.56666666667,71921.46634394575,67641.85714285714,70749.0,69261.07714856151
2024-03-17,71499.0,20.47%,72999.0,8.64%,17,3,2024,True,2024-03-17 19:26:37,Sunday,-1500.0,71499.0,72177.86666666667,71865.13749808632,68570.42857142857,70749.0,69759.46686208664
2024-03-18,71290.0,20.7%,72999.0,8.64%,18,3,2024,False,2024-03-18 19:26:37,Monday,-1709.0,71469.14285714286,72171.2,71788.45249834147,69499.0,70749.0,70191.40461380842
2024-03-19,71290.0,20.7%,72999.0,8.64%,19,3,2024,False,2024-03-19 19:26:37,Tuesday,-1709.0,71439.28571428571,72164.53333333334,71721.99216522928,70427.57142857143,70749.0,70565.75066530064
2024-03-20,71290.0,20.7%,72999.0,8.64%,20,3,2024,False,2024-03-20 19:26:37,Wednesday,-1709.0,71409.42857142857,72107.56666666667,71664.39320986537,71284.71428571429,70749.0,70890.18390992723
2024-03-21,71290.0,20.7%,72999.0,8.64%,21,3,2024,False,2024-03-21 19:26:37,Thursday,-1709.0,71379.57142857143,72050.6,71614.47411521665,72141.85714285714,70749.0,71171.35938860361
2024-03-22,65999.0,26.59%,72999.0,8.64%,22,3,2024,False,2024-03-22 19:26:37,Friday,-7000.0,70593.85714285714,71867.56666666667,70865.74423318777,72999.0,70815.66666666667,71415.04480345646
2024-03-23,71290.0,20.7%,65999.0,17.4%,23,3,2024,True,2024-03-23 19:26:37,Saturday,5291.0,70564.0,71877.26666666666,70922.31166876273,71999.0,70649.0,70692.90549632894
2024-03-24,71290.0,20.7%,66999.0,16.15%,24,3,2024,True,2024-03-24 19:26:37,Sunday,4291.0,70534.14285714286,71886.96666666666,70971.33677959436,71141.85714285714,70515.66666666667,70200.38476348508
2024-03-25,71290.0,20.7%,66999.0,16.15%,25,3,2024,False,2024-03-25 19:26:37,Monday,4291.0,70534.14285714286,71563.63333333333,71013.82520898178,70284.71428571429,70382.33333333333,69773.53346168707
2024-03-26,72200.0,19.69%,66999.0,16.15%,26,3,2024,False,2024-03-26 19:26:37,Tuesday,5201.0,70664.14285714286,71603.66666666667,71171.98184778422,69427.57142857143,70249.0,69403.59566679546
2024-03-27,72200.0,19.69%,66999.0,16.15%,27,3,2024,False,2024-03-27 19:26:37,Wednesday,5201.0,70794.14285714286,71643.7,71309.05093474632,68570.42857142857,70149.0,69082.98291122273
2024-03-28,72200.0,19.69%,65999.0,17.4%,28,3,2024,False,2024-03-28 19:26:37,Thursday,6201.0,70924.14285714286,71683.73333333334,71427.84414344681,67570.42857142857,70015.66666666667,68671.78518972636
2024-03-29,72200.0,19.69%,65999.0,17.4%,29,3,2024,False,2024-03-29 19:26:37,Friday,6201.0,71810.0,71757.1,71530.7982576539,66570.42857142857,69882.33333333333,68315.41383109619
2024-03-30,72200.0,19.69%,69999.0,12.39%,30,3,2024,True,2024-03-30 19:26:37,Saturday,2201.0,71940.0,71830.46666666666,71620.02515663339,67141.85714285714,69882.33333333333,68539.89198695002
2024-03-31,72200.0,19.69%,68999.0,13.64%,31,3,2024,True,2024-03-31 19:26:37,Sunday,3201.0,72070.0,71803.83333333333,71697.35513574893,67427.57142857143,69749.0,68601.10638869002
2024-04-01,72700.0,19.13%,72999.0,8.64%,1,4,2024,False,2024-04-01 19:26:37,Monday,-299.0,72271.42857142857,71793.86666666667,71831.04111764907,68284.71428571429,69749.0,69187.49220353135
2024-04-01,71590.0,20.37%,72999.0,8.64%,1,4,2024,False,2024-04-01 19:26:37,Monday,-1409.0,72184.28571428571,71746.9,71798.90230196253,69141.85714285714,69749.0,69695.69324306051
2024-04-02,72690.0,19.14%,72999.0,8.64%,2,4,2024,False,2024-04-02 19:26:37,Tuesday,-309.0,72254.28571428571,71736.6,71917.71532836753,69999.0,69749.0,70136.13414398578
2024-04-03,72690.0,19.14%,72999.0,8.64%,3,4,2024,False,2024-04-03 19:26:37,Wednesday,-309.0,72324.28571428571,71726.3,72020.68661791852,70999.0,69749.0,70517.84959145435
2024-04-04,72690.0,19.14%,72999.0,8.64%,4,4,2024,False,2024-04-04 19:26:37,Thursday,-309.0,72394.28571428571,71716.0,72109.92840219605,71999.0,69749.0,70848.6696459271
2024-04-05,72690.0,19.14%,72999.0,8.64%,5,4,2024,False,2024-04-05 19:26:37,Friday,-309.0,72464.28571428571,71705.7,72187.27128190325,72427.57142857143,69749.0,71135.38035980349
2024-04-06,72690.0,19.14%,72999.0,8.64%,6,4,2024,True,2024-04-06 19:26:37,Saturday,-309.0,72534.28571428571,71695.4,72254.30177764948,72999.0,69749.0,71383.86297849636
2024-04-07,72690.0,19.14%,72999.0,8.64%,7,4,2024,True,2024-04-07 19:26:37,Sunday,-309.0,72532.85714285714,71711.73333333334,72312.39487396288,72999.0,70015.66666666667,71599.21458136351
2024-04-08,72690.0,19.14%,72999.0,8.64%,8,4,2024,False,2024-04-08 19:26:37,Monday,-309.0,72690.0,71728.06666666667,72362.74222410117,72999.0,70232.33333333333,71785.85263718171
2024-04-09,72690.0,19.14%,72999.0,8.64%,9,4,2024,False,2024-04-09 19:26:37,Tuesday,-309.0,72690.0,71767.76666666666,72406.37659422102,72999.0,70449.0,71947.60561889083
2024-04-10,72690.0,19.14%,65999.0,17.4%,10,4,2024,False,2024-04-10 19:26:37,Wednesday,6691.0,72690.0,71807.46666666666,72444.19304832487,71999.0,70432.33333333333,71154.45820303871
2024-04-11,73100.0,18.69%,65999.0,17.4%,11,4,2024,False,2024-04-11 19:26:37,Thursday,7101.0,72748.57142857143,71860.83333333333,72531.63397521489,70999.0,70399.0,70467.06377596688
2024-04-11,82600.0,8.12%,65999.0,17.4%,11,4,2024,False,2024-04-11 19:26:37,Thursday,16601.0,74164.28571428571,72230.86666666667,73874.08277851957,69999.0,70365.66666666667,69871.32193917129
2024-04-11,73100.0,18.69%,65999.0,17.4%,11,4,2024,False,2024-04-11 19:26:37,Thursday,7101.0,74222.85714285714,72284.23333333334,73770.87174138363,68999.0,70332.33333333333,69355.01234728178
2024-04-12,73100.0,18.69%,65999.0,17.4%,12,4,2024,False,2024-04-12 19:26:37,Friday,7101.0,74281.42857142857,72337.6,73681.42217586581,67999.0,70099.0,68907.54403431088
2024-04-13,73100.0,18.69%,65999.0,17.4%,13,4,2024,True,2024-04-13 19:26:37,Saturday,7101.0,74340.0,72390.96666666666,73603.8992190837,66999.0,69865.66666666667,68519.73816306943
2024-04-14,73100.0,18.69%,65999.0,17.4%,14,4,2024,True,2024-04-14 19:26:37,Sunday,7101.0,74398.57142857143,72451.3,73536.71265653921,65999.0,69632.33333333333,68183.63974132684
2024-04-15,73100.0,18.69%,65999.0,17.4%,15,4,2024,False,2024-04-15 19:26:37,Monday,7101.0,74457.14285714286,72511.63333333333,73478.48430233398,65999.0,69399.0,67892.35444248327
2024-04-16,73100.0,18.69%,65999.0,17.4%,16,4,2024,False,2024-04-16 19:26:37,Tuesday,7101.0,74457.14285714286,72571.96666666666,73428.01972868945,65999.0,69165.66666666667,67639.9071834855
2024-04-17,71590.0,20.37%,71999.0,9.89%,17,4,2024,False,2024-04-17 19:26:37,Wednesday,-409.0,72884.28571428571,72581.96666666666,73182.95043153086,66856.14285714286,69132.33333333333,68221.11955902076
2024-04-18,71590.0,20.37%,71999.0,9.89%,18,4,2024,False,2024-04-18 19:26:37,Thursday,-409.0,72668.57142857143,72768.33333333333,72970.55704066007,67713.28571428571,69099.0,68724.83695115133
2024-04-19,71590.0,20.37%,65999.0,17.4%,19,4,2024,False,2024-04-19 19:26:37,Friday,5591.0,72452.85714285714,72778.33333333333,72786.48276857207,67713.28571428571,69099.0,68361.39202433116
2024-04-20,71590.0,20.37%,65999.0,17.4%,20,4,2024,True,2024-04-20 19:26:37,Saturday,5591.0,72237.14285714286,72788.33333333333,72626.95173276246,67713.28571428571,69065.66666666667,68046.406421087
2024-04-21,71590.0,20.37%,65999.0,17.4%,21,4,2024,True,2024-04-21 19:26:37,Sunday,5591.0,72021.42857142857,72798.33333333333,72488.69150172747,67713.28571428571,69032.33333333333,67773.4188982754
2024-04-22,73100.0,18.69%,65999.0,17.4%,22,4,2024,False,2024-04-22 19:26:37,Monday,7101.0,72021.42857142857,72828.33333333333,72570.19930149715,67713.28571428571,68999.0,67536.82971183868
2024-04-23,73100.0,18.69%,65999.0,17.4%,23,4,2024,False,2024-04-23 19:26:37,Tuesday,7101.0,72021.42857142857,72858.33333333333,72640.83939463086,67713.28571428571,68965.66666666667,67331.7857502602
2024-04-24,73100.0,18.69%,65999.0,17.4%,24,4,2024,False,2024-04-24 19:26:37,Wednesday,7101.0,72237.14285714286,72888.33333333333,72702.06080868008,66856.14285714286,68965.66666666667,67154.08098355884
2024-04-25,73100.0,18.69%,65999.0,17.4%,25,4,2024,False,2024-04-25 19:26:37,Thursday,7101.0,72452.85714285714,72918.33333333333,72755.11936752274,65999.0,68965.66666666667,67000.070185751
